round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers,popularity_keep_or_drop,popularity_confidence_level,best_popularity_signal,rating_or_review_count,popularity_reason,recommended_rank_delta,popularity_rank
第三輪新增,KCAT-NOLITTER-057,隧道/躲藏,B｜可順手買,strong,毛氈帳篷躲藏屋,펫초이스 고양이 텐트 숨숨집 댕피스텔,펫초이스,帳篷式躲藏屋,Coupang / Naver Shopping,"約39,900–78,200 KRW",台灣未見同品牌穩定販售,可作貓窩與躲藏空間；非食品候選,占空間；需可壓縮收納,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/tnghdzld/223964625952,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%ED%8E%AB%EC%B4%88%EC%9D%B4%EC%8A%A4+%EB%8C%95%ED%94%BC%EC%8A%A4%ED%85%94,只選合成材質、無木質配件或植物填充版本；原清單ID：KCAT100-076,keep,high,Korea high,"KR Naver Store 4.8/5, 2,435 reviews; Coupang 4.7/5, 756 reviews",韓國同款/同系列評論量高，上調。,2,11
第三輪新增,KCAT-NOLITTER-059,家具,A｜優先買,strong,透明壓克力窗台貓吊床,캣돌 고양이 창문 냥틀 아크릴 해먹,캣돌,壓克力窗台吊床/平台,Naver SmartStore / Coupang,"約35,280–75,430 KRW",台灣未見同品牌穩定販售,壓克力材質拍照效果好，比大型貓家具更適合帶回,吸盤/螺絲固定需檢查；壓克力可能刮傷,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/ri_eun67/224253046225,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%EC%BA%A3%EB%8F%8C+%E9%80%8F%E6%98%8E+%E8%B2%93%E5%90%8A%E5%BA%8A,若附布墊需確認非動物毛；原清單ID：KCAT100-078,keep,high,Korea high,"KR 4.8/5, 1,400 reviews",韓國同款評論量高且設計差異明顯，上調。,2,12
第三輪新增,KCAT-NOLITTER-076,外出旅行,B｜可順手買,medium,Ibiyaya 兩用/五合一寵物外出包,이비야야 고양이 이동가방,Ibiyaya,外出背包/推車座艙/旅行包,Naver Shopping / Coupang / 寵物選品店,"約120,000–220,000 KRW",台灣有Ibiyaya官方/代理與電商通路,韓國可能有不同款色與折扣；送禮實用,需確認承重、透氣、拉鍊防逃,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EB%B9%84%EC%95%BC%EC%95%BC%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%9D%B4%EB%8F%99%EA%B0%80%EB%B0%A9,https://www.ibiyaya.com/tw/,韓國款式與台灣款式需拍型號比對；原清單ID：KCAT100-095,keep,high,Taiwan high,Ibiyaya 台灣官方與本地通路強,台灣品牌強訊號，外出旅行代表性高。,2,13
第二輪,KCAT-NOLITTER-023,美容,A｜優先買,medium,PETHROOM 雙頭寵物牙刷（不含牙膏）,페스룸 고양이 칫솔,PETHROOM,牙刷,PETHROOM Korea / Coupang / Naver,"約13,000–22,000 KRW",台灣較少/平輸,只買牙刷，避開牙膏液體/成分風險,需選貓嘴尺寸；刷牙需訓練,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%ED%8E%98%EC%8A%A4%EB%A3%B8%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%B9%AB%EC%86%94,https://www.google.com/search?q=PETHROOM%20%E7%89%99%E5%88%B7%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-031,keep,high,Korea high,PETHROOM 口腔護理工具在韓國官方/Naver/Coupang 可見,韓國品牌優勢且只列牙刷不列牙膏。,1,14
第二輪,KCAT-NOLITTER-030,抓板,B｜可順手買,weak,Garigari Sofa 貓抓板沙發,가리가리 소파 고양이 스크래쳐,Garigari,沙發型紙抓板,Coupang / Naver Shopping,"約18,000–40,000 KRW",台灣有平輸/同類,可抓可躺，行李可壓平包裝時適合,紙屑、潮濕發霉；不適合吃紙貓,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%80%EB%A6%AC%EA%B0%80%EB%A6%AC%20%EC%86%8C%ED%8C%8C%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=Garigari%20sofa%20%E8%B2%93%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-038,keep,high,Korea medium-high,"KR Coupang 4.6/5, 348 reviews",Garigari Sofa 韓國同款評分/評論足夠。,1,15
第二輪,KCAT-NOLITTER-035,玩具,A｜優先買,medium,Cat Dancer Original 鋼線紙卷逗貓棒,캣댄서 오리지널 고양이 장난감,Cat Dancer,鋼線逗貓玩具,Coupang / Naver Shopping,"約5,000–12,000 KRW",台灣有平輸,小件輕便，非食物非植物,鋼線尾端需看顧；不用時收起,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EC%BA%A3%EB%8C%84%EC%84%9C%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=Cat%20Dancer%20Original%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-043,keep,high,Korea retailer + blog,"KR Coupang 4.8/5, 42 reviews; 經典長銷描述",Cat Dancer Original 經典長銷，上調。,1,16
第三輪新增,KCAT-NOLITTER-052,玩具,B｜可順手買,strong,手持雷射筆逗貓器,가또나인 고양이 레이저 포인터,가또나인,手持雷射玩具,Naver Shopping / Coupang / SmartStore,"約9,900–13,886 KRW",台灣有相似雷射筆，未見同品牌常態販售,小、輕、便宜，適合作順手帶回小物,不可照眼；需搭配實體玩具完成狩獵,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/misoanjel_/224223485388,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%EA%B0%80%EB%98%90%EB%82%98%EC%9D%B8+%E8%B2%93+%E9%9B%B7%E5%B0%84,確認雷射等級與電池形式；原清單ID：KCAT100-071,keep,high,Korea medium-high,"KR PetFriends 4.8/5, 169 reviews",韓國同品牌雷射筆有明確評論與高評分。,1,17
第三輪新增,KCAT-NOLITTER-053,玩具,B｜可順手買,medium,雷射梳造型逗貓器,펫긱 레이저 빗,펫긱,手持雷射/互動玩具,Coupang / Naver Shopping,"約10,500–12,580 KRW",台灣未見同款穩定代理,便宜輕巧，適合非食品貓奴小物,AAA電池另購；雷射安全同上,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/bbuue_/224281680723,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%ED%8E%AB%EA%B8%B1+%E9%9B%B7%E5%B0%84%E6%A2%B3+%E8%B2%93,確認包裝是否含電池；原清單ID：KCAT100-072,keep,high,Korea medium-high,"PETGEEK store 12,237 total reviews avg 4.8; laser comb 4.94/5, 66 reviews",店鋪與單品評分強，保留上調。,1,18
第三輪新增,KCAT-NOLITTER-044,清潔周邊,A｜優先買,strong,Kangjipsa 全換砂大鏟,강집사 고양이 화장실 전체갈이 모래삽,Kangjipsa / 강집사,塑膠大砂鏟/全換砂工具,官方商城 / Naver SmartStore / AboutPet,"約5,500 KRW",台灣主流通路未確認,輕、非食品非植物；比帶貓砂更適合帶回,體積較長；塑膠鏟遇重礦砂可能彎曲,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://kangjipsa.com/product/%EC%A0%84%EC%B2%B4%EA%B0%88%EC%9D%B4-%EB%AA%A8%EB%9E%98%EC%82%BD/47/,https://shopee.tw/search?keyword=%E5%85%A8%E6%8F%9B%E7%A0%82%20%E8%B2%93%E7%A0%82%E9%8F%9F,避免買木柄款；原清單ID：KCAT100-063,keep,high,Korea official rating signal,"Korea official 4.9/5, 7 reviews",官方評分可驗證，工具輕便。,0,19
第三輪新增,KCAT-NOLITTER-049,收納/清潔,A｜優先買,strong,Cocosiru Diolock 15L 雙重防臭寵物排泄物垃圾桶,코코시루 다용도 냄새차단 디오락 쓰레기통 C15TC,Cocosiru / 코코시루,排泄物垃圾桶/收納桶,Pet Friends / AboutPet / 官方商城 / SSG,"約35,000 KRW / 15L",台灣有防臭桶替代；此韓國款未見主流通路,非食品非植物非液體，對小坪數貓家庭實用,體積較大；耗材袋需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://aboutpet.co.kr/goods/indexGoodsDetail?goodsId=GI251138067,https://shopee.tw/search?keyword=%E5%AF%B5%E7%89%A9%20%E9%98%B2%E8%87%AD%20%E5%9E%83%E5%9C%BE%E6%A1%B6,確認專用袋是否可替代；原清單ID：KCAT100-068,keep,high,Korea official + category demand,"Official 5/5, 3 reviews; AboutPet listing; Taiwan category demand",實用防臭收納，保留。,0,20
第二輪,KCAT-NOLITTER-002,砂盆工具,A｜優先買,medium,Mango 貓砂鏟,망고 고양이 화장실 모래삽 배변용품 스쿱,Mango,貓砂鏟,Pet Friends,待查,未見主流台灣正式通路,輕、小、工具類，適合伴手,孔徑需配合砂種,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/348203,https://shopee.tw/search?keyword=%EB%A7%9D%EA%B3%A0%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%AA%A8%EB%9E%98%EC%82%BD,原清單ID：KCAT100-010,keep,high,Korea rating signal,"Korea: PetFriends 5/5, 3 reviews",輕便工具且有韓國零售評分；評論量低，作低順位加購。,-2,21
第二輪,KCAT-NOLITTER-003,砂盆工具,A｜優先買,medium,Mango 全換砂專用大砂鏟,망고 고양이 화장실 전체갈이 모래삽,Mango,大砂鏟/全換砂工具,Pet Friends,待查,未見主流台灣正式通路,換整盆砂時實用；比帶砂省重量,行李中防止柄部折斷,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/317772,https://shopee.tw/search?keyword=%E5%85%A8%E6%8F%9B%E7%A0%82%20%E8%B2%93%E7%A0%82%E9%8F%9F,原清單ID：KCAT100-011,keep,high,Korea rating signal,"Korea: PetFriends 5/5, 4 reviews",實用工具但評論量低；保留為低順位。,-2,22
第三輪新增,KCAT-NOLITTER-065,餵食/飲水工具,A｜優先買,medium,SureFeed 微晶片感應防搶食餵食器,슈어피드 마이크로칩 펫 피더,SureFeed / Sure Petcare,RFID/微晶片感應餵食器,Naver Shopping / Gmarket / 海外直購賣場,"約270,000–350,000 KRW",台灣多為蝦皮/代購/海外賣場,多貓分食、處方飼料防偷吃很實用,價格高；需晶片或項圈RFID牌；C電池另購,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=SureFeed%20%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%B9%A9%20%EA%B8%89%EC%8B%9D%EA%B8%B0,https://shopee.tw/search?keyword=SureFeed%20%E5%BE%AE%E6%99%B6%E7%89%87%20%E9%A4%B5%E9%A3%9F%E5%99%A8,韓國多為海外直購/平輸，需核對保固；原清單ID：KCAT100-084,keep,medium-high,Taiwan high,台灣多貓防搶食需求與 SureFeed 搜尋/代購能見度高,功能差異化強，上調。,2,23
第二輪,KCAT-NOLITTER-016,餵食,B｜可順手買,medium,Catit Senses 2.0 Digger 慢食/覓食器,캣잇 센스 2.0 디거 고양이 급식기,Catit,慢食器/益智餵食,Coupang / Naver Shopping / Pet Friends,"約19,000–35,000 KRW",台灣有進口,非食物且可提升覓食；比大電器好帶,塑膠刮傷需清洗；急性子貓可能硬咬,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EC%BA%A3%EC%9E%87%20%EC%84%BC%EC%8A%A4%202.0%20%EB%94%94%EA%B1%B0%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EA%B8%89%EC%8B%9D%EA%B8%B0,https://www.google.com/search?q=Catit%20Digger%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-024,keep,medium-high,Taiwan high,Catit 在台灣通路常見，Senses 系列辨識度佳,知名貓用品品牌，保留上調。,1,24
第三輪新增,KCAT-NOLITTER-066,餵食/飲水工具,B｜可順手買,medium,PetSafe Drinkwell 360 不鏽鋼寵物飲水機,펫세이프 드링크웰 360 스테인리스 정수기,PetSafe Drinkwell,循環式飲水機,Naver Shopping / Coupang / Gmarket,"約120,000–170,000 KRW",台灣蝦皮、PChome/代購可見同系列或零件,不鏽鋼耐用，適合重視清潔的家庭,需確認110–240V變壓器、濾芯與馬達耗材,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=PetSafe%20Drinkwell%20360%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%A0%95%EC%88%98%EA%B8%B0,https://shopee.tw/search?keyword=PetSafe%20Drinkwell%20360,購買前確認是整機非濾芯/變壓器；原清單ID：KCAT100-085,keep,medium-high,Taiwan medium-high,Drinkwell 系列台灣進口通路可見,老牌飲水機，保留上調。,1,25
第三輪新增,KCAT-NOLITTER-070,餵食/飲水工具,B｜可順手買,medium,PETLIBRO RFID 標籤自動餵食器 3L,펫리브로 RFID 태그 자동급식기 3L,PETLIBRO,RFID項圈標籤自動餵食器,LotteON / Naver Shopping,"約398,000–450,000 KRW",台灣可搜尋到PETLIBRO但RFID款通路較不穩,多貓防搶食、處方餐分開管理,項圈接受度、感應穩定性、App/保固與價格,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://www.lotteon.com/p/product/LO2635893266,https://shopee.tw/search?keyword=PETLIBRO%20RFID%20%E9%A4%B5%E9%A3%9F%E5%99%A8,確認型號與項圈數量；本清單只列機器不列食物；原清單ID：KCAT100-089,keep,medium-high,Taiwan medium-high,PETLIBRO RFID 台灣搜尋可見；LotteON 商品頁,RFID 功能差異化，保留上調。,1,26
第三輪新增,KCAT-NOLITTER-071,餵食/飲水工具,A｜優先買,medium,Cat Mate C500 五餐定時餵食器,캣메이트 C500 5끼 자동급식기,Cat Mate,旋轉盤式五餐自動餵食器,Eurowings Korea / Naver Shopping / 海外直購,"約156,500–209,600 KRW",台灣蝦皮/代購可見Cat Mate,少數可放冰包的定時餵食器；本清單只列機器不列食品,台灣高溫環境不宜久放餐食；清洗密封度需留意,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,http://www.eurowings.co.kr/goods/goods_view.php?goodsNo=1000008864,https://shopee.tw/search?keyword=Cat%20Mate%20C500,價格可能高於歐美原價；原清單ID：KCAT100-090,keep,medium-high,Taiwan medium-high,Cat Mate C500 台灣進口/蝦皮可見，全球長銷,五餐盤式餵食器功能清楚，上調。,1,27
第三輪新增,KCAT-NOLITTER-078,外出旅行,B｜可順手買,weak,IRIS OHYAMA ATC-530 上開式外出籠,아이리스오야마 ATC-530 이동장,IRIS OHYAMA,上掀硬殼外出籠,Naver Shopping / Coupang / Gmarket,"約35,000–70,000 KRW",台灣有IRIS OHYAMA通路與相近型號,上開式看診友善，硬殼好清潔,體積大；塑膠硬殼易刮；扣具尺寸需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EC%9D%B4%EB%A6%AC%EC%8A%A4%EC%98%A4%EC%95%BC%EB%A7%88%20ATC-530%20%EC%9D%B4%EB%8F%99%EC%9E%A5%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://shopee.tw/search?keyword=IRIS%20ATC-530%20%E8%B2%93,型號可能有韓日版本差異；原清單ID：KCAT100-097,keep,medium-high,Taiwan medium-high,IRIS OHYAMA 台灣知名度高，上開籠需求明確,知名日系品牌，上調。,1,28
第三輪新增,KCAT-NOLITTER-080,梳毛清潔工具,A｜優先買,medium,Tangle Teezer Pet Teezer Cat Grooming Brush 貓用梳,탱글티저 펫티저 캣 그루밍 브러쉬,Tangle Teezer / Pet Teezer,貓用梳毛刷,SSG.COM / Musinsa / Naver Shopping,"約20,000–35,000 KRW",台灣可見代購或電商,貓專用款、設計感好，適合送禮,對嚴重底毛/打結不如針梳,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://www.ssg.com/item/itemView.ssg?itemId=1000551890420,https://shopee.tw/search?keyword=Pet%20Teezer%20Cat%20%E6%A2%B3,確認是Cat款非大型犬款；原清單ID：KCAT100-099,keep,medium-high,Korea medium-high,SSG/Musinsa/Naver 可見，Tangle Teezer 品牌認知佳,韓國通路品質較好，保留上調。,1,29
第三輪新增,KCAT-NOLITTER-081,梳毛清潔工具,B｜可順手買,medium,Hertzko 自清潔針梳,헤르츠코 셀프 클리닝 슬리커 브러쉬,Hertzko,自清潔針梳/除廢毛刷,Coupang / Buytop / Naver搜尋,"約20,000–45,000 KRW",台灣蝦皮/代購可見Hertzko針梳,按鈕退毛方便，換毛期實用；非刀片式去毛,針梳需輕手，皮膚敏感或短毛貓可能不喜歡,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://www.coupang.com/vp/products/8630531394,https://shopee.tw/search?keyword=Hertzko%20%E8%87%AA%E6%B8%85%E6%BD%94%20%E9%87%9D%E6%A2%B3%20%E8%B2%93,Coupang頁面可能擋海外瀏覽；原清單ID：KCAT100-100,keep,medium-high,Taiwan medium-high,Hertzko 自清潔針梳台灣搜尋/蝦皮可見，全球知名,代表款之一，保留上調。,1,30
