round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers,popularity_keep_or_drop,popularity_confidence_level,best_popularity_signal,rating_or_review_count,popularity_reason,recommended_rank_delta,popularity_rank
第四輪新增,KCAT-POP-079,清潔周邊,A,high,Blackhole 黑洞貓砂防帶出墊,블랙홀 고양이 사막화 방지 매트,Blackhole,貓砂墊/cleaning mat,Danawa / open market,"42,500–51,870 KRW",momo honeycomb/blackhole-style mats,砂盆前方落砂收集，降低清掃頻率,品牌/通用款混用多，需確認正品與尺寸,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%EB%B8%94%EB%9E%99%ED%99%80%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%82%AC%EB%A7%89%ED%99%94%20%EB%A7%A4%ED%8A%B8,https://www.momoshop.com.tw/search/%E9%BB%91%E6%B4%9E%20%E8%B2%93%E7%A0%82%E5%A2%8A?viewport=desktop,Naver/Coupang blocked,keep,high,Very high KR search count,Danawa 857; momo 30,韓國貓砂墊類別高度熱門，非砂本體且行李友善。,3,11
第四輪新增,KCAT-POP-081,耗材/收納,A,high,CATLINK 自動貓砂機專用集便袋,캣링크 자동화장실 전용 배변봉투,CATLINK,自動貓砂機垃圾袋,Danawa / open market,"17,400–55,400 KRW",momo/search; CATLINK ecosystem present,CATLINK 機主必買耗材，輕量易囤,尺寸/代數相容性需核對,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%EC%BA%A3%EB%A7%81%ED%81%AC%20%EB%B0%B0%EB%B3%80%EB%B4%89%ED%88%AC,https://www.momoshop.com.tw/search/CATLINK%20%E5%9E%83%E5%9C%BE%E8%A2%8B?viewport=desktop,Taiwan bag query mixed,keep,high,Very high KR listing count,Danawa 551; momo mixed 30,CATLINK 耗材韓國需求強，非食品且行李友善。,3,12
第四輪新增,KCAT-POP-084,玩具,A,high,貓島 波浪衝浪自動逗貓玩具,고양이섬 파도타기 자동장난감,고양이섬,自動獵捕遊戲玩具,PetFriends,"28,000 KRW",台灣未確認，可查跨境代購,波浪式隱藏動作可提高追捕興趣,電子玩具需檢查轉動部與外殼,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/348807,https://shopee.tw/search?keyword=%E9%9F%93%E5%9C%8B%20%E8%B2%93%20%E6%B3%A2%E6%B5%AA%20%E8%87%AA%E5%8B%95%20%E7%8E%A9%E5%85%B7,,keep,high,Korea high,"PetFriends 4.6/5, 816 reviews",韓國貓用品平台 800+ 評論，人氣明確。,3,13
第四輪新增,KCAT-POP-088,玩具,A,high,貓島 橘色機器魚玩具,고양이섬 로봇 물고기 오렌지,고양이섬,機器魚玩具,PetFriends,"3,200 KRW",台灣有相似機器魚玩具,塑膠魚形玩具，互動性高,需確認防水與電池蓋，避免咬破,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/71884,https://shopee.tw/search?keyword=%E8%B2%93%20%E6%A9%9F%E5%99%A8%E9%AD%9A%20%E7%8E%A9%E5%85%B7,,keep,high,Korea high,"PetFriends 4.3/5, 2,369 reviews","韓國 2,000+ 評論，價格低、易攜帶。",3,14
第四輪新增,KCAT-POP-091,貓床/窩,A,high,Dr.Felis For Cat Nest 貓窩,닥터펠리스 포캣네스트 브라운/그레이,Dr.Felis / 닥터펠리스,貓床/貓窩,PetFriends,"13,500 KRW",台灣未確認,軟質貓窩，適合喜歡包覆感的貓,需確認布料清潔性,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/176024,https://shopee.tw/search?keyword=Dr.Felis%20For%20Cat%20Nest,,keep,high,Korea high,"PetFriends 4.8/5, 2,398 reviews","2,000+ 評論且評分高。",3,15
第四輪新增,KCAT-POP-094,隧道/躲藏,A,high,貓島 起司餃子遊戲隧道,고양이섬 치즈만두 놀이터널,고양이섬,合成纖維遊戲隧道,PetFriends,"12,900 KRW",台灣未確認,造型躲藏隧道，兼顧玩耍與休息,布料/金屬圈需檢查破損；非紙/木/植物草類,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/124964,https://shopee.tw/search?keyword=%E9%9F%93%E5%9C%8B%20%E8%B2%93%20%E9%9A%A7%E9%81%93%20%E8%B5%B7%E5%8F%B8,,keep,high,Korea high,"PetFriends 4.7/5, 2,466 reviews","2,000+ 韓國評論且行李可壓縮。",3,16
第四輪新增,KCAT-POP-099,玩具,A,high,Paws Life 長尾鼠尾逗貓玩具,포우즈라이프 쥐꼬리 롱테일 그린/옐로우/핑크/블루,Paws Life / 포우즈라이프,合成尾巴型追逐玩具,PetFriends,"3,800 KRW",台灣有相似鼠尾逗貓玩具,不含羽毛/草類的尾巴型追逐玩具,長條配件需監督，避免咬斷吞食,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/194951,https://shopee.tw/search?keyword=%E8%B2%93%20%E9%BC%A0%E5%B0%BE%20%E9%80%97%E8%B2%93%20%E9%95%B7%E5%B0%BE,,keep,high,Korea high,"PetFriends 4.7/5, 2,206 reviews","2,000+ 韓國評論且高評分。",3,17
第四輪新增,KCAT-POP-101,餵食,A,high,meoof 蛋捲餵食器4L 視訊版獨享碗,미오프 에그롤 4L 영상 자동급식기,meoof,視訊自動餵食器,Naver/Coupang search path; exact blocked,not observed,"momo i_code=13558925, TWD 3740",4L、camera/video monitoring、app feeding，台灣評論強,狗貓共用 SKU；app/cloud支援需確認,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=meoof%20%EB%8B%A8%EA%B3%84%20%EC%9E%90%EB%8F%99%EA%B8%89%EC%8B%9D%EA%B8%B0,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13558925,Naver Shopping access restriction,keep,high,Taiwan momo 283 reviews,"4.8/5, 283 reviews",台灣 momo 自動餵食器中評論數高，韓國頁阻擋不作負面證據。,3,18
第四輪新增,KCAT-POP-104,飲水,A,high,MIIIBO 貓咪寶 無線水泵寵物飲水機,미이보/고양이보 무선펌프 반려동물 정수기,MIIIBO,無線泵飲水機,Naver Shopping search path; exact blocked,not observed,"momo i_code=10250813, TWD 790",無線泵、易清洗，台灣評論量很高,韓國保固不確定；需確認濾芯與馬達耗材,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=MIIIBO%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%A0%95%EC%88%98%EA%B8%B0,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10250813,Naver Shopping access restriction,keep,high,Taiwan momo 249 reviews,"4.9/5, 249 reviews",台灣飲水機評論訊號最強之一。,3,19
第四輪新增,KCAT-POP-109,外出旅行,A,high,HiDREAM 寵物托特胸前包,하이드림 반려동물 토트/가슴 외출가방,HiDREAM,軟式外出包/胸前包,Naver Shopping search path; exact blocked,not observed,"momo i_code=12032743, TWD 783",輕量外出包，適合短程看診與外出,狗貓共用；需確認尺寸與防逃拉鍊,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=HiDREAM%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%9D%B4%EB%8F%99%EA%B0%80%EB%B0%A9,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12032743,Naver Shopping access restriction,keep,high,Taiwan momo 104 reviews,"4.9/5, 104 reviews",台灣外出包評論量高，行李可攜。,3,20
第四輪新增,KCAT-POP-112,美容,A,high,URBANER 奧本 CT-21 寵物安全指甲剪 小,어바너 CT-21 소형 반려동물 안전 발톱깎이,URBANER,小型安全指甲剪,Naver Shopping search path; exact blocked,not observed,"momo i_code=9141765, TWD 379",小尺寸明確適合貓/小型犬，台灣評分高,利器建議託運；需避免剪到血線,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=URBANER%20CT-21%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%B0%9C%ED%86%B1%EA%B9%8E%EC%9D%B4,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9141765,Naver Shopping access restriction,keep,high,Taiwan momo 84 reviews,"5.0/5, 84 reviews",台灣貓指甲剪高評價、高評論數。,3,21
第四輪新增,KCAT-POP-114,健康工具,A,high,Virbac C.E.T. 寵物專用迷你牙刷 3支組,버박 C.E.T. 반려동물 미니 칫솔 3개입,Virbac,迷你牙刷組,Naver Shopping search path; exact blocked,not observed,"momo i_code=9618520, TWD 227",牙刷工具-only，小刷頭適合貓,避免買牙膏/化學套組，只列牙刷,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=Virbac%20C.E.T.%20%EB%AF%B8%EB%8B%88%20%EC%B9%AB%EC%86%94%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9618520,Naver Shopping access restriction,keep,high,Taiwan momo 68 reviews,"4.9/5, 68 reviews",獸醫牙科品牌工具，台灣評論強。,3,22
第四輪新增,KCAT-POP-115,健康工具,A,high,MAOUP 毛起來 口腔對策 軟膠護齦指套刷3入,마오업 실리콘 잇몸보호 손가락 칫솔 3개입,MAOUP,矽膠指套牙刷,Naver Shopping search path; exact blocked,not observed,"momo i_code=10055270, TWD 149",柔軟指套刷，適合刷牙訓練；不含牙膏,需排除凝膠/牙膏套組；手指尺寸因人而異,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=MAOUP%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%86%90%EA%B0%80%EB%9D%BD%20%EC%B9%AB%EC%86%94,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10055270,Naver Shopping access restriction,keep,high,Taiwan momo 97 reviews,"4.8/5, 97 reviews",高評論牙刷工具，不與 PETHROOM 牙刷重複。,3,23
第二輪,KCAT-NOLITTER-004,砂盆工具,B｜可順手買,weak,Scoopers Combi Scoop 複合砂鏟,스쿠퍼즈 콤비 스쿱,Scoopers,貓砂鏟,Naver SmartStore,待查,未見主流台灣正式通路,小工具，可配不同顆粒砂,確認孔徑；塑膠件可能斷裂,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://smartstore.naver.com/main/products/8446156449,https://shopee.tw/search?keyword=%EC%8A%A4%EC%BF%A0%ED%8D%BC%EC%A6%88%20%EC%BD%A4%EB%B9%84%20%EC%8A%A4%EC%BF%B1,原清單ID：KCAT100-012,keep,high,Korea official-store review signal,"Korea: 4.8/5, 57 reviews",Scoopers 官方/商店評論較 Mango 工具強，建議上調。,2,24
第二輪,KCAT-NOLITTER-019,美容,A｜優先買,medium,PETHROOM Healing Brush 貓狗梳/按摩梳,페스룸 힐링 브러쉬 고양이,PETHROOM,梳毛刷,PETHROOM Korea / Coupang / Naver,"約18,000–32,000 KRW",台灣較少/平輸,韓國品牌非液體，短毛貓梳理可買,犬貓共用需貓接受；長毛打結需排梳,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%ED%8E%98%EC%8A%A4%EB%A3%B8%20%ED%9E%90%EB%A7%81%20%EB%B8%8C%EB%9F%AC%EC%89%AC%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=PETHROOM%20%E8%B2%93%20%E6%A2%B3%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-027,keep,high,Korea high,PETHROOM 韓國品牌強，官方/Naver/Coupang 能見度強,韓國本土品牌強項商品，上調。,2,25
第二輪,KCAT-NOLITTER-020,美容,B｜可順手買,strong,FURminator 貓用除毛梳 S/L,퍼미네이터 고양이 브러쉬,FURminator,除毛梳,Coupang / Naver Shopping / Pet Friends,"約36,000–44,000 KRW",台灣常見,韓國若低於台灣可買；換毛季實用,刀片型勿過度梳；買貓用尺寸,可攜回；刀片工具建議託運,https://search.naver.com/search.naver?where=nexearch&query=FURminator%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%B8%8C%EB%9F%AC%EC%89%AC,https://www.google.com/search?q=FURminator%20%E8%B2%93%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-028,keep,high,Korea/Taiwan high,FURminator 台韓通路常見，除毛梳代表品牌,代表品牌，人氣/信任度明確。,2,26
第二輪,KCAT-NOLITTER-029,抓板,B｜可順手買,weak,Garigari Wall 貓用直立抓板,가리가리 월 고양이 스크래쳐,Garigari,直立紙抓板,Coupang / Naver Shopping / Pet Friends,"約20,000–45,000 KRW",台灣有平輸/同類,直立抓板可滿足站立伸展，非食品好帶,紙材怕潮；確認不含貓草包,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%80%EB%A6%AC%EA%B0%80%EB%A6%AC%20%EC%9B%94%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%8A%A4%ED%81%AC%EB%9E%98%EC%B3%90,https://www.google.com/search?q=%E5%8A%A0%E9%87%8C%E5%8A%A0%E9%87%8C%20%E8%B2%93%20%E6%8A%93%E6%9D%BF%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-037,keep,high,Korea high,"KR Coupang 4.6/5, 2,716 reviews",Garigari Wall 韓國高評論高評分，保留上調。,2,27
第二輪,KCAT-NOLITTER-038,家居小物,B｜可順手買,medium,Necono 猫壱 Happy Dining 高腳貓碗,네코이치 해피다이닝 고양이 식기,Necoichi,高腳陶瓷碗,Coupang / Naver Shopping / Pet Friends,"約18,000–35,000 KRW",台灣有進口,非食品、設計實用，適合送禮,陶瓷易碎；確認碗高適合貓,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EB%84%A4%EC%BD%94%EC%9D%B4%EC%B9%98%20%ED%95%B4%ED%94%BC%EB%8B%A4%EC%9D%B4%EB%8B%9D%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%8B%9D%EA%B8%B0,https://www.google.com/search?q=Necoichi%20Happy%20Dining%20%E8%B2%93%E7%A2%97%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-046,keep,high,Korea high,"KR Coupang 4.5/5, 551 reviews; TW PChome Necoichi 95 results",Necoichi 高腳貓碗韓國評論數高，保留上調。,2,28
第三輪新增,KCAT-NOLITTER-050,玩具,A｜優先買,strong,不倒翁自動雷射逗貓玩具,내꼬냥 스마트 자동 레이저 토이 텀블러,내꼬냥,USB充電雷射玩具,Naver SmartStore / Coupang / 韓國貓展,"約23,400–32,000 KRW",台灣未見穩定代理，多為相似款,體積小、非食品，韓國限定感玩具伴手禮,雷射不可照眼；需搭配實體玩具收尾,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/wjdal628/224181708679,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%E5%85%A7%E5%93%88%E7%BE%8A+%E8%87%AA%E5%8B%95%E9%9B%B7%E5%B0%84+%E8%B2%93,確認內建電池容量與航空規範；原清單ID：KCAT100-069,keep,high,Korea high,"KR PetFriends 4.5/5, 126 reviews; SmartStore snippets 118/282",韓國本地品牌小型電子玩具，保留上調。,2,29
第三輪新增,KCAT-NOLITTER-057,隧道/躲藏,B｜可順手買,strong,毛氈帳篷躲藏屋,펫초이스 고양이 텐트 숨숨집 댕피스텔,펫초이스,帳篷式躲藏屋,Coupang / Naver Shopping,"約39,900–78,200 KRW",台灣未見同品牌穩定販售,可作貓窩與躲藏空間；非食品候選,占空間；需可壓縮收納,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/tnghdzld/223964625952,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%ED%8E%AB%EC%B4%88%EC%9D%B4%EC%8A%A4+%EB%8C%95%ED%94%BC%EC%8A%A4%ED%85%94,只選合成材質、無木質配件或植物填充版本；原清單ID：KCAT100-076,keep,high,Korea high,"KR Naver Store 4.8/5, 2,435 reviews; Coupang 4.7/5, 756 reviews",韓國同款/同系列評論量高，上調。,2,30
第三輪新增,KCAT-NOLITTER-059,家具,A｜優先買,strong,透明壓克力窗台貓吊床,캣돌 고양이 창문 냥틀 아크릴 해먹,캣돌,壓克力窗台吊床/平台,Naver SmartStore / Coupang,"約35,280–75,430 KRW",台灣未見同品牌穩定販售,壓克力材質拍照效果好，比大型貓家具更適合帶回,吸盤/螺絲固定需檢查；壓克力可能刮傷,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/ri_eun67/224253046225,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%EC%BA%A3%EB%8F%8C+%E9%80%8F%E6%98%8E+%E8%B2%93%E5%90%8A%E5%BA%8A,若附布墊需確認非動物毛；原清單ID：KCAT100-078,keep,high,Korea high,"KR 4.8/5, 1,400 reviews",韓國同款評論量高且設計差異明顯，上調。,2,31
第三輪新增,KCAT-NOLITTER-076,外出旅行,B｜可順手買,medium,Ibiyaya 兩用/五合一寵物外出包,이비야야 고양이 이동가방,Ibiyaya,外出背包/推車座艙/旅行包,Naver Shopping / Coupang / 寵物選品店,"約120,000–220,000 KRW",台灣有Ibiyaya官方/代理與電商通路,韓國可能有不同款色與折扣；送禮實用,需確認承重、透氣、拉鍊防逃,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EB%B9%84%EC%95%BC%EC%95%BC%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%9D%B4%EB%8F%99%EA%B0%80%EB%B0%A9,https://www.ibiyaya.com/tw/,韓國款式與台灣款式需拍型號比對；原清單ID：KCAT100-095,keep,high,Taiwan high,Ibiyaya 台灣官方與本地通路強,台灣品牌強訊號，外出旅行代表性高。,2,32
